station_complex_id,station_complex,Georeference
607,"34 St-Herald Sq (B,D,F,M,N,Q,R,W)",POINT (-73.98782 40.749718)
609,"Bryant Pk (B,D,F,M)/5 Av (7)",POINT (-73.981964 40.754223)
610,"Grand Central-42 St (S,4,5,6,7)",POINT (-73.976845 40.751778)
611,"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)",POINT (-73.986755 40.75731)
612,"Lexington Av-53 St (E,M)/51 St (6)",POINT (-73.969055 40.757553)
613,"Lexington Av (N,R,W)/59 St (4,5,6)",POINT (-73.967255 40.76266)
614,"59 St-Columbus Circle (A,B,C,D,1)",POINT (-73.981735 40.768295)
618,"14 St (A,C,E)/8 Av (L)",POINT (-74.00169 40.740894)
619,"Broadway-Lafayette St (B,D,F,M)/Bleecker St (6)",POINT (-73.99466 40.725914)
622,"Brooklyn Bridge-City Hall (4,5,6)/Chambers St (J,Z)",POINT (-74.0034 40.71324)
623,"Canal St (J,N,Q,R,W,Z,6)",POINT (-73.99989 40.71953)
624,"Chambers St (A,C)/WTC (E)/Park Pl (2,3)/Cortlandt (R,W)",POINT (-74.00858 40.71411)
625,"Delancey St (F)/Essex St (J,M,Z)",POINT (-73.987434 40.718613)
628,"Fulton St (A,C,J,Z,2,3,4,5)",POINT (-74.00657 40.710373)
635,"South Ferry (1)/Whitehall St (R,W)",POINT (-74.01299 40.703087)
