Station ID,Complex ID,Line,Stop Name,Borough,GTFS Latitude,GTFS Longitude
184,621,8th Av - Fulton St,Broadway Junction,Bk,40.678334,-73.905316
1,1,Astoria,Astoria-Ditmars Blvd,Q,40.775036,-73.912034
358,358,Nostrand,Newkirk Av-Little Haiti,Bk,40.639967,-73.948411
126,126,Canarsie,Jefferson St,Bk,40.706607,-73.922913
467,611,Flushing,Times Sq-42 St,M,40.755477,-73.987691
507,507,Staten Island,Dongan Hills,SI,40.588849,-74.09609
196,196,Rockaway,Aqueduct Racetrack,Q,40.672097,-73.835919
89,89,Jamaica,Cleveland St,Bk,40.679947,-73.884639
158,158,8th Av - Fulton St,86 St,M,40.785868,-73.968916
189,189,Liberty Av,Grant Av,Bk,40.677044,-73.86505
268,268,Queens Blvd,65 St,Q,40.749669,-73.898453
50,50,Broadway - Brighton,Avenue M,Bk,40.617618,-73.959399
294,294,Broadway - 7Av,238 St,Bx,40.884667,-73.90087
341,341,Eastern Pky,Eastern Pkwy-Brooklyn Museum,Bk,40.671987,-73.964375
408,619,Lexington Av,Bleecker St,M,40.725915,-73.994659
45,45,Broadway - Brighton,Beverley Rd,Bk,40.644031,-73.964492
449,449,Flushing,111 St,Q,40.75173,-73.855334
153,153,8th Av - Fulton St,125 St,M,40.811109,-73.952343
228,228,6th Av - Culver,23 St,M,40.742878,-73.992821
413,413,Lexington Av,Wall St,M,40.707557,-74.011862
77,77,Sea Beach,Kings Hwy,Bk,40.603923,-73.980353
305,305,Broadway - 7Av,137 St-City College,M,40.822008,-73.953676
440,440,Lenox - White Plains Rd,116 St,M,40.802098,-73.949625
326,326,Broadway - 7Av,Franklin St,M,40.719318,-74.006886
385,385,Jerome Av,176 St,Bx,40.84848,-73.911794
277,277,Queens Blvd,7 Av,M,40.762862,-73.981637
216,216,Concourse,174-175 Sts,Bx,40.8459,-73.910136
104,623,Jamaica,Canal St,M,40.718092,-73.999892
121,629,Canarsie,Lorimer St,Bk,40.714063,-73.950275
165,165,8th Av - Fulton St,23 St,M,40.745906,-73.998041
179,179,8th Av - Fulton St,Nostrand Av,Bk,40.680438,-73.950426
72,72,Sea Beach,Fort Hamilton Pkwy,Bk,40.631386,-74.005351
445,445,Dyre Av,Pelham Pkwy,Bx,40.858985,-73.855359
5,5,Astoria,36 Av,Q,40.756804,-73.929575
211,211,Concourse,Bedford Park Blvd,Bx,40.873244,-73.887138
377,377,Pelham,3 Av-138 St,Bx,40.810476,-73.926138
114,114,Myrtle Av,Central Av,Bk,40.697857,-73.927397
354,354,Nostrand,Sterling St,Bk,40.662742,-73.95085
238,238,6th Av - Culver,Smith-9 Sts,Bk,40.67358,-73.995959
369,369,Pelham,Elder Av,Bx,40.828584,-73.879159
475,475,Second Av,96 St,M,40.784318,-73.947152
332,628,Clark St,Fulton St,M,40.709416,-74.006571
503,503,Staten Island,Stapleton,SI,40.627915,-74.075162
109,109,Myrtle Av,Fresh Pond Rd,Q,40.706186,-73.895877
149,149,8th Av - Fulton St,163 St-Amsterdam Av,M,40.836013,-73.939892
26,26,Broadway - Brighton,DeKalb Av,Bk,40.690635,-73.981824
404,404,Lexington Av,28 St,M,40.74307,-73.984264
309,309,Broadway - 7Av,103 St,M,40.799446,-73.968379
221,221,63rd St,21 St-Queensbridge,Q,40.754203,-73.942836
417,417,Lenox - White Plains Rd,Nereid Av,Bx,40.898379,-73.854376
82,82,Jamaica,104 St,Q,40.695178,-73.84433
