w_geocode,segment,year,C000,CE01,CE02,CE03
060730009011006,S000,2023,2,0,2,0
060730009011007,S000,2023,2,1,1,0
060730009011009,S000,2023,7,0,2,5
060730009012000,S000,2023,14,4,5,5
060730009012001,S000,2023,18,12,3,3
060730009012002,S000,2023,79,17,40,22
060730009012003,S000,2023,27,6,11,10
060730009013000,S000,2023,2,0,2,0
060730009013001,S000,2023,5,1,1,3
060730009013002,S000,2023,3,0,2,1
060730009013003,S000,2023,37,5,15,17
060730009021000,S000,2023,25,3,10,12
060730009021002,S000,2023,1,0,0,1
060730009021003,S000,2023,65,29,34,2
060730009022001,S000,2023,8,5,3,0
060730009022002,S000,2023,19,0,5,14
060730009022003,S000,2023,73,24,17,32
060730009023000,S000,2023,23,3,7,13
060730009023001,S000,2023,59,14,31,14
060730009023002,S000,2023,21,1,17,3
060730009023004,S000,2023,1,0,1,0
060730009023005,S000,2023,2,0,2,0
060730009023006,S000,2023,8,4,1,3
060730009023007,S000,2023,11,2,7,2
060730009023008,S000,2023,107,17,65,25
060730010001001,S000,2023,58,14,9,35
060730010001002,S000,2023,2,0,0,2
060730010001004,S000,2023,1,1,0,0
060730010001005,S000,2023,23,3,7,13
060730010001006,S000,2023,9,1,3,5
060730010001007,S000,2023,10,3,6,1
060730010001008,S000,2023,8,1,3,4
060730010001009,S000,2023,7,2,4,1
060730010001010,S000,2023,25,1,2,22
060730010001011,S000,2023,37,17,16,4
060730010001012,S000,2023,61,9,27,25
060730010002000,S000,2023,1,0,0,1
060730010002001,S000,2023,2,2,0,0
060730010002002,S000,2023,8,0,6,2
060730010002003,S000,2023,1,0,1,0
060730010002005,S000,2023,3,0,0,3
060730010002007,S000,2023,63,17,24,22
060730010002008,S000,2023,2,1,1,0
060730010003000,S000,2023,5,1,3,1
060730010003001,S000,2023,26,6,12,8
060730010003002,S000,2023,5,2,2,1
060730010003003,S000,2023,4,2,2,0
060730010003004,S000,2023,7,3,1,3
060730010003005,S000,2023,1,0,0,1
060730010003006,S000,2023,7,3,3,1
060730010003007,S000,2023,1,0,0,1
060730010003008,S000,2023,68,8,12,48
060730010004000,S000,2023,12,1,9,2
060730010004001,S000,2023,30,6,14,10
