date,fhv,hvfhv,green_taxi,yellow_taxi
2023-02-27,8435,567393,2399,93050
2023-02-28,8602,604126,2222,101046
2023-03-01,10189,615722,2623,115089
2023-03-02,10392,645094,2583,118714
2023-03-03,10115,753888,2718,116011
2023-03-04,6987,806794,2186,113066
2023-03-05,5843,673386,1854,98040
2023-03-06,9344,552895,2307,93608
2023-03-07,9698,615592,2596,113611
2023-03-08,10110,633940,2492,117473
2023-03-09,10529,659668,2605,121349
2023-03-10,10436,761502,2560,121375
2023-03-11,7060,780623,2101,111232
2023-03-12,5496,648985,1762,95969
2023-03-13,9384,616647,2423,100637
2023-03-14,9666,634170,2334,107653
2023-03-15,10485,645969,2578,119709
2023-03-16,10429,663850,2685,123866
2023-03-17,9844,733044,2636,111955
2023-03-18,6984,799246,2134,121598
2023-03-19,5794,670724,1847,101745
2023-03-20,9068,547363,2311,91356
2023-03-21,9844,558815,2255,101985
2023-03-22,10286,584878,2286,105950
2023-03-23,10196,631618,2272,113672
2023-03-24,10271,693451,2390,110691
2023-03-25,7544,789522,2035,115669
2023-03-26,6195,627756,1689,94959
2023-03-27,9269,564788,2308,96514
2023-03-28,10658,556252,2134,104196
2023-03-29,10753,592789,2398,111265
2023-03-30,10513,649854,2507,118846
2023-03-31,10605,704714,2430,114719
2023-04-01,7639,776062,1999,116847
2023-04-02,6121,653844,1823,101071
2023-04-03,9393,544490,2303,96870
2023-04-04,10349,565852,2289,108549
2023-04-05,10406,613499,2381,115552
2023-04-06,8995,582458,2278,107937
2023-04-07,8885,647897,2166,105846
2023-04-08,7054,692283,1940,101644
2023-04-09,5917,613119,1872,88971
2023-04-10,8266,492774,2228,89836
2023-04-11,9448,517798,2245,104758
2023-04-12,9582,562040,2160,113199
2023-04-13,9615,622587,2291,121630
2023-04-14,9990,714602,2373,123440
2023-04-15,7351,757165,2102,119198
2023-04-16,6031,625340,1780,99521
2023-04-17,9668,533697,2255,97697
2023-04-18,10524,569725,2352,114953
2023-04-19,10852,594027,2244,117558
2023-04-20,10680,639830,2451,125368
2023-04-21,9915,674369,1917,116718
2023-04-22,6804,769232,2085,117910
2023-04-23,5653,650694,1720,98899
2023-04-24,9254,530777,2206,100054
2023-04-25,10081,560399,2396,112707
2023-04-26,10611,603972,2528,119965
2023-04-27,10659,648855,2651,123908
2023-04-28,10455,772888,2667,123060
2023-04-29,7412,880842,1902,110532
2023-04-30,5862,733786,1787,95056
2023-05-01,10742,559797,2415,99659
2023-05-02,11929,592698,2148,115093
2023-05-03,12689,613847,2299,119484
2023-05-04,12194,659578,2376,126254
2023-05-05,11779,735071,2299,121004
2023-05-06,8482,791076,2086,121633
2023-05-07,6837,633720,1790,102538
2023-05-08,11175,541472,2247,98855
2023-05-09,11757,569356,2271,115683
2023-05-10,12400,604270,2293,120724
2023-05-11,12460,662010,2616,129807
2023-05-12,11725,729495,2587,125457
2023-05-13,8400,777477,2113,122168
2023-05-14,6825,679597,1990,110580
2023-05-15,10421,566387,2310,109222
2023-05-16,11736,608479,2298,124255
2023-05-17,12365,646808,2586,132090
2023-05-18,11963,675601,2620,134347
2023-05-19,11589,737200,2623,127726
2023-05-20,8569,822910,2120,119592
2023-05-21,6452,652672,1873,103665
2023-05-22,11017,557535,2275,104058
2023-05-23,12043,571189,2201,116208
2023-05-24,12682,633854,2459,125469
2023-05-25,12245,623261,2461,117011
2023-05-26,11403,661478,2282,102624
2023-05-27,8368,677703,1794,94324
2023-05-28,6663,626143,1557,83753
2023-05-29,6062,524286,1676,75460
2023-05-30,11114,535245,2163,100201
2023-05-31,11868,577461,2350,114520
2023-06-01,11202,635732,2454,123011
2023-06-02,10827,723330,2479,118460
2023-06-03,8062,747738,2230,118230
2023-06-04,6374,644896,1971,101113
2023-06-05,10339,542055,2099,103539
2023-06-06,11275,587292,2385,120949
2023-06-07,11640,641620,2392,123824
2023-06-08,10661,626937,2263,119358
2023-06-09,10587,704712,2498,114802
2023-06-10,8163,748355,2018,112535
2023-06-11,6472,656424,1877,98129
2023-06-12,10316,592042,2257,107509
2023-06-13,11318,588760,2371,117455
2023-06-14,11531,639830,2507,122365
2023-06-15,12135,667613,2543,127890
2023-06-16,10974,726857,2390,111435
2023-06-17,7996,728780,2001,106047
2023-06-18,6122,647368,1849,93003
2023-06-19,7563,513046,1713,86598
2023-06-20,10861,559485,2075,108184
2023-06-21,11087,609249,2283,116076
2023-06-22,11308,665403,2483,121415
2023-06-23,11021,735506,2297,114369
2023-06-24,7980,753621,1930,109320
2023-06-25,5994,665234,1719,95389
2023-06-26,10335,589173,2145,100338
2023-06-27,11019,588118,2225,109486
2023-06-28,11115,579729,1844,105683
2023-06-29,11160,599673,2079,105149
2023-06-30,10457,658041,2171,95317
2023-07-01,8184,654632,1840,81495
2023-07-02,6849,581042,1750,68962
2023-07-03,9346,501563,1748,64499
2023-07-04,6550,488038,1323,57144
2023-07-05,11007,543259,2082,85084
2023-07-06,11433,554105,2122,92891
2023-07-07,11144,629382,2171,90095
2023-07-08,8998,690844,1730,90779
2023-07-09,6760,621664,1735,80286
2023-07-10,10559,519712,2014,88772
2023-07-11,11736,555757,1992,103426
2023-07-12,12395,599355,2232,110157
2023-07-13,12321,636694,2331,112861
2023-07-14,11596,693394,2210,98718
2023-07-15,8807,762329,2058,101114
2023-07-16,7230,635705,1666,81706
2023-07-17,11006,554822,2108,93561
2023-07-18,11940,583362,2105,106309
2023-07-19,12312,603504,2162,110933
2023-07-20,12130,632683,2241,111268
2023-07-21,11495,703284,2093,100230
2023-07-22,9255,742041,1777,99939
2023-07-23,7305,645036,1651,87557
2023-07-24,11041,533099,1934,90000
2023-07-25,11926,587055,2062,102564
2023-07-26,12508,597796,2135,109187
2023-07-27,12057,654762,2279,112758
2023-07-28,11439,707816,2175,102479
2023-07-29,9521,748156,1881,97770
2023-07-30,7619,639709,1738,89007
2023-07-31,10596,531531,2001,86166
2023-08-01,12954,543261,2023,98100
2023-08-02,13494,566281,2088,101497
2023-08-03,13504,595221,2246,102960
2023-08-04,13126,638192,2061,91685
2023-08-05,10052,691592,1740,93148
2023-08-06,8150,609414,1676,81875
2023-08-07,12073,537112,1956,83584
2023-08-08,13069,526300,2017,95570
2023-08-09,13651,559441,2072,100105
2023-08-10,13866,643276,2185,104778
2023-08-11,13106,653530,1991,92053
2023-08-12,9888,696312,1737,90516
2023-08-13,8024,605113,1656,81205
2023-08-14,12057,512333,1931,83786
2023-08-15,12982,528330,1955,92999
2023-08-16,13319,568965,2077,99593
2023-08-17,12802,592795,2044,99981
2023-08-18,13190,655636,2111,89382
2023-08-19,9978,689272,1842,90472
2023-08-20,7952,606709,1648,78949
2023-08-21,11924,506722,1855,80084
2023-08-22,13020,508431,1856,86700
2023-08-23,13971,533744,1979,92120
2023-08-24,13642,586244,2123,95435
2023-08-25,12565,649421,1916,88914
2023-08-26,10472,708121,1715,90768
2023-08-27,8317,619720,1572,82217
2023-08-28,12117,501202,1988,78396
2023-08-29,12892,527886,2191,93683
2023-08-30,13436,569307,2219,92025
2023-08-31,12658,592267,2205,91100
2023-09-01,12655,651884,2243,86663
2023-09-02,10830,679332,1700,82502
2023-09-03,8748,655806,1769,79091
2023-09-04,7274,543430,1861,73022
2023-09-05,12490,583127,2502,102614
2023-09-06,12821,641826,2563,117687
2023-09-07,13752,692141,2660,128752
2023-09-08,13250,759290,2657,124107
2023-09-09,10453,798041,2182,117347
2023-09-10,9084,736675,1882,106131
2023-09-11,12367,622979,2380,107595
2023-09-12,12187,600149,2332,118930
2023-09-13,14014,631348,2413,118569
2023-09-14,14446,646246,2471,124762
2023-09-15,13693,709395,2408,116107
2023-09-16,10657,737192,1994,111848
2023-09-17,8483,644278,1772,95967
2023-09-18,11843,600332,2305,96568
2023-09-19,12642,549559,2164,104346
2023-09-20,13894,585626,2450,108212
2023-09-21,13979,629723,2459,42947
2023-09-22,14050,699629,2283,4617
2023-09-23,11151,826773,1689,5753
2023-09-24,9363,679708,1535,4886
2023-09-25,10718,562116,1870,90778
2023-09-26,13434,601904,2343,112402
2023-09-27,14777,598360,2338,118834
2023-09-28,14887,678407,2559,126866
2023-09-29,12250,772654,1879,105428
2023-09-30,10666,733193,1776,112725
2023-10-01,9197,654455,1727,104052
2023-10-02,12292,546053,2157,99800
2023-10-03,13273,562974,2266,112796
2023-10-04,14776,593062,2341,118821
2023-10-05,14331,632252,2333,123406
2023-10-06,14272,708940,2313,115822
2023-10-07,11046,769430,1730,112946
2023-10-08,9322,654108,1667,99341
2023-10-09,11741,511962,1853,85670
2023-10-10,13726,558584,2104,110453
2023-10-11,15175,590495,2271,118248
2023-10-12,14262,640981,2502,127030
2023-10-13,13630,720816,2445,117876
2023-10-14,10909,843907,1860,122076
2023-10-15,8655,664887,1738,104405
2023-10-16,12577,563572,2106,102232
2023-10-17,13525,585157,2218,116025
2023-10-18,15004,604966,2408,120313
2023-10-19,14739,646925,2496,127349
2023-10-20,14198,776679,2387,124079
2023-10-21,10896,778652,1929,121184
2023-10-22,9424,669363,1719,108618
2023-10-23,13159,543847,2143,99770
2023-10-24,13674,564079,2148,113231
2023-10-25,14719,596001,2276,119765
2023-10-26,14494,655901,2391,129311
2023-10-27,14216,755994,2383,126729
2023-10-28,11325,865424,2049,131102
2023-10-29,10182,783883,1841,111677
2023-10-30,12956,558791,2154,97584
2023-10-31,13147,584190,2233,101481
2023-11-01,8454,640741,2656,126697
2023-11-02,8231,646614,2420,127837
2023-11-03,7565,707325,2356,122215
2023-11-04,4049,746722,1846,123139
2023-11-05,3289,630819,1653,108873
2023-11-06,7913,552647,2188,102851
2023-11-07,7890,553602,2074,112880
2023-11-08,8835,618596,2367,124079
2023-11-09,8446,653647,2410,128748
2023-11-10,6955,726900,2317,125647
2023-11-11,4191,784305,2069,124386
2023-11-12,3592,684604,1740,110343
2023-11-13,7995,570663,2117,103098
2023-11-14,8669,593731,2342,117798
2023-11-15,8886,624615,2399,124844
2023-11-16,8773,670015,2366,130800
2023-11-17,7879,726103,2331,121679
2023-11-18,4284,810369,2062,127014
2023-11-19,3689,678164,1829,100574
2023-11-20,7935,572606,2210,99237
2023-11-21,8278,643368,2558,111776
2023-11-22,7472,619141,2208,92295
2023-11-23,3827,604479,1493,65078
2023-11-24,4953,552239,1529,77371
2023-11-25,3475,601460,1592,88224
2023-11-26,3401,580984,1649,85525
2023-11-27,7709,552440,2103,96635
2023-11-28,8164,607559,2277,120136
2023-11-29,8610,640095,2443,114939
2023-11-30,8203,674697,2411,124381
2023-12-01,9292,807074,2534,128634
2023-12-02,5372,789751,1999,121992
2023-12-03,4612,732963,1565,108046
2023-12-04,9978,580139,2268,102365
2023-12-05,10448,619610,2350,120391
2023-12-06,10857,676941,2612,129414
2023-12-07,10521,732582,2492,134986
2023-12-08,9754,776020,2418,132334
2023-12-09,5361,806481,2127,135187
2023-12-10,4338,731952,1750,114119
2023-12-11,9833,625230,2242,110529
2023-12-12,10359,635649,2360,126410
2023-12-13,10725,680116,2522,136064
2023-12-14,10357,732110,2645,143995
2023-12-15,9542,799001,2669,141754
2023-12-16,5369,812958,2208,136782
2023-12-17,4279,710261,1687,109594
2023-12-18,8912,629648,2293,101370
2023-12-19,9947,634561,2465,121847
2023-12-20,10459,650400,2506,118817
2023-12-21,9484,672785,2481,116889
2023-12-22,8800,711516,2357,111519
2023-12-23,4713,619968,1585,83587
2023-12-24,4259,581711,1312,65997
2023-12-25,3239,450008,937,45434
2023-12-26,6438,435068,1604,68146
2023-12-27,8085,492489,1775,81111
2023-12-28,7833,533093,1738,84242
2023-12-29,7507,588157,1771,86020
2023-12-30,4314,593285,1533,82424
2023-12-31,4267,674770,1406,77567
